time,beta,alpha,theta,delta,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
5212.500000,496.453468,126.523115,50.909273,2152.873914,7.588979,7.847726,7.518472,182.733109,5.120317,7.339405,6.655835,7.831368,8.135222,7.155709,6.002653,4.866260,7.932899,6.947175,6.978553,4.718565
5213.000000,169.751240,125.399250,255.036023,586.568554,6.975743,7.995790,6.948797,122.404724,3.310122,6.144593,7.294783,6.998181,6.922193,5.757557,5.262729,2.936851,6.959675,7.476356,6.636259,3.820860
5213.500000,690.916751,98.700600,239.506287,469.242932,5.169206,5.937251,5.926969,118.008850,4.706962,4.555851,4.587093,5.597408,5.859207,6.220261,5.503190,5.093177,4.430011,5.312990,5.805001,4.297396
5214.000000,906.225858,831.251468,1273.557080,1320.924602,7.553859,9.088897,9.758678,71.539108,5.953989,6.704827,7.227917,8.166854,8.247911,7.160117,5.864818,4.641930,6.420460,5.233903,4.701749,3.424868
5214.500000,144.356214,69.730960,301.098609,1492.945697,6.353392,9.322927,9.900111,226.625610,5.236121,6.549906,7.705120,8.399660,8.173974,7.646842,6.209720,4.645597,5.640551,7.529598,6.185474,4.137314
5215.000000,570.215894,50.416644,100.966201,1619.552700,7.083099,6.012130,5.453771,140.642288,3.610219,6.598031,5.909915,5.306246,5.116261,4.747108,3.998878,3.486871,5.803601,5.071816,5.218906,4.279407
5215.500000,2621.300556,792.771017,3192.085614,28192.026555,6.165644,7.959228,8.040924,89.234268,4.263370,5.840176,7.240464,8.560577,8.582870,7.323653,5.595799,3.688211,5.954793,7.312636,6.597245,3.594682
5216.000000,921.334961,338.779028,2169.566370,4308.756945,15.436152,20.446135,18.203259,122.951843,8.981564,13.302055,16.614532,15.914851,15.113643,14.148397,12.125419,8.456790,12.025533,14.472379,11.900352,7.160268
5216.500000,462.380602,217.113894,311.908110,4093.084305,60.494884,82.913879,77.498276,165.634201,40.514606,53.562325,62.433998,63.688126,55.239529,53.883190,46.508640,34.882481,45.338028,52.267609,42.711311,27.944073
5217.000000,1642.044549,1016.671907,804.210941,2229.575166,66.649956,77.462166,71.937393,109.825142,52.092995,58.727314,64.297470,59.874554,48.931808,52.234570,51.208847,44.387180,51.258118,52.424175,43.067722,36.229221
5217.500000,768.057285,1132.887760,876.178264,1679.033996,32.930000,41.254902,40.835037,109.568336,33.254005,27.535902,32.330509,32.551136,29.345514,32.272865,34.256969,29.664522,23.080458,27.918436,28.000429,24.341099
5218.000000,178.795589,34.239651,79.490124,1326.331211,16.280296,18.466530,18.624872,98.042358,14.479647,13.920727,16.183802,14.904978,13.598770,15.001740,15.346084,13.313568,11.826454,14.186956,12.948260,11.823907
5218.500000,2817.969612,1717.043091,3695.949689,31560.325445,9.094082,10.507047,9.663781,171.270859,8.626518,7.769699,9.484420,10.193933,8.599585,8.829649,8.173614,7.740132,6.639222,8.954720,8.353876,6.945203
5219.000000,316.103831,148.326136,2001.470694,8490.670283,4.218106,5.061207,4.679722,124.718086,3.963743,5.069319,5.115330,4.902593,4.448597,4.335738,4.260308,4.091275,6.330140,5.622624,5.037658,4.389860
5219.500000,424.595641,132.769689,131.556330,2393.126516,4.905444,5.642733,5.576000,82.022278,3.206076,4.266699,4.465525,4.817908,4.879411,3.762246,3.432059,2.712306,3.488084,4.430587,3.354388,2.894454
5220.000000,176.111403,21.822124,57.535701,941.010835,4.531880,4.721494,5.308262,131.623383,3.648399,3.630839,3.619006,3.987220,4.977110,4.553607,3.933621,3.045511,3.651401,3.711144,4.608523,3.604434
5220.500000,1621.089846,877.861660,357.049266,1030.524846,4.119351,6.955347,7.476682,110.040680,5.111373,3.416775,4.630766,6.283834,7.080796,6.433548,5.395343,4.681072,3.815613,5.475748,6.300816,4.661939
5221.000000,251.223261,73.334087,138.052823,583.281337,9.115767,8.425316,8.839592,182.084732,8.266512,9.206802,9.122222,8.820692,8.951202,9.051388,8.139726,7.177279,9.886474,9.139007,9.092352,6.475171
5221.500000,2505.365864,1120.760350,1535.765784,20388.545780,5.437605,7.243872,8.605950,98.510643,4.573944,4.430160,4.731066,6.377153,7.252954,6.606609,5.179350,4.114771,5.156059,5.572907,5.992201,3.824944
5222.000000,1031.390322,227.225995,481.266961,54894.687439,14.740502,10.837229,8.716475,86.812103,7.879125,11.709690,10.661709,9.173309,8.072392,7.171638,7.014242,6.430674,9.677694,8.815058,7.294665,5.032316
5222.500000,1867.105235,367.147270,593.406273,14748.359907,13.206079,16.186838,15.640239,84.033310,8.833905,11.194756,11.709684,13.322972,12.682920,11.557467,9.213511,6.520181,10.669148,11.814013,9.623624,5.716315
5223.000000,1101.338386,144.492758,268.608880,18802.690240,5.169364,6.576275,6.866205,174.677704,3.909011,5.554974,5.673277,6.941693,6.921031,6.426012,5.587859,3.797984,6.271750,6.350173,6.603018,4.874572
